relative_path,label
/wiki/Southern_Gothic,Southern Gothic (Fashion/Historical)
/wiki/Southern_Gothic,Southern Gothic (Regional/Modern)
/wiki/Sovietwave,Sovietwave
/wiki/Spacecore,Spacecore
/wiki/Sparklecore,Sparklecore
/wiki/Spiritcore,Spiritcore
/wiki/Spring,Spring
/wiki/Spy_fiction,Spy Fiction
/wiki/Steampunk,Steampunk
/wiki/Steelpunk,Steelpunk
/wiki/Stimwave,Stimwave
/wiki/Stoner,Stoner
/wiki/Stripcore,Stripcore
/wiki/Studyblr,Studyblr
/wiki/Studyplace,Studyplace
/wiki/Suburban_Gothic,Suburban Gothic
/wiki/Sukeban,Sukeban
/wiki/Summer,Summer
/wiki/Suprematism,Suprematism
/wiki/Surf_Crush,Surf Crush
/wiki/Surrealism,Surrealism
/wiki/Surreal_Memer,Surreal Memer
/wiki/Swenkas,Swenkas
/wiki/Swordpunk,Swordpunk
/wiki/Synthwave,Synthwave
/wiki/Takenokozoku,Takenokozoku
/wiki/Tenwave,Tenwave
/wiki/Techwear,Techwear
/wiki/Teddies,Teddies
/wiki/Technical_Scene,Technical Scene
/wiki/Teethcore,Teethcore
/wiki/Theatre_Academia,Theatre Academia
/wiki/Theatre_Kids,Theater Kids
/wiki/Thrasher,Thrasher
/wiki/Thriftcore,Thriftcore
/wiki/Tomboy,Tomboy
/wiki/Trad_Goth,Trad Goth
/wiki/Trailer_Trash,Trailer Park Princess
/wiki/Trashcore,Trashcore
/wiki/Traumacore,Traumacore
/wiki/Trendercore,Trendercore
/wiki/Trillwave,Trillwave
/wiki/Tropical,Tropical
/wiki/Tupinipunk,Tupinipunk
/wiki/Tweencore,Tweencore
/wiki/Twee,Twee
/wiki/Ukiyo-e,Ukiyo-e
/wiki/Ulzzang,Ulzzang
/wiki/Urbancore,Urbancore
/wiki/Unicorncore,Unicorncore
/wiki/Vacation_Dadcore,Vacation Dadcore
/wiki/Vampire,Vampire
/wiki/Vaporwave,Vaporwave
/wiki/Vibrant_Academia,Vibrant Academia
/wiki/Victorian,Victorian
/wiki/Victorian_Goth,Victorian Goth
/wiki/Viking,Viking
/wiki/Vintage,Vintage
/wiki/Vintage_Academia,Vintage Academia
/wiki/Vintage_Academia,Vintage Academia
/wiki/Virgo%27s_Tears,Virgo's Tears
/wiki/Visual_Kei,Visual Kei
/wiki/VSCO,VSCO Girl
/wiki/VSCO,VSCO Boy
/wiki/VSCO,Dark VSCO
/wiki/VSCO,Winter VSCO
/wiki/VSCO,Autumn VSCO
/wiki/Voidpunk,Voidpunk
/wiki/Vorticism,Vorticism
/wiki/Vulture_Culture,Vulture Culture
/wiki/Wabi-Sabi,Wabi-Sabi
/wiki/Waif,Waif
/wiki/Waldorf,Waldorf
/wiki/Wanderlust,Wanderlust
/wiki/Warmcore,Warmcore
/wiki/Weirdcore,Weirdcore
/wiki/Werewolf,Werewolf
/wiki/Western,Western
/wiki/Winter,Winter
/wiki/Witchy_Academia,Witchy Academia
/wiki/Witch_House,Witch House
/wiki/Witchcore,Witchcore
/wiki/Wizardcore,Wizardcore
/wiki/Wonderland,Wonderland
/wiki/Woodland_Goth,Woodland Goth
/wiki/Wormcore,Wormcore
/wiki/Writer_Academia,Writer Academia
/wiki/Y2K,Y2K
/wiki/Yakuza,Yakuza
/wiki/Yami_Kawaii,Yami Kawaii
/wiki/Yandere,Yandere
/wiki/Yankeecore,Yankeecore
/wiki/Yanki,Yanki
/wiki/Yume_Kawaii,Yume Kawaii
/wiki/Zombiecore,Zombiecore
/wiki/1950s_Suburbia,1950s Suburbia
/wiki/2_Tone,2 Tone
/wiki/70s_Disco,70s Disco
